date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:15:26	1191/1191	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Apr%202019%2008:15:04%20GMT	https://fifa19mobile.top/robots.txt		(from )
09:15:26	8346/8346	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Apr%202019%2007:36:19%20GMT	https://fifa19mobile.top/	D:/Dev/CPA/Site%20Template%20Download/Fifa/fifa19mobile.top/index.html	(from )
09:15:26	2973/2973	---M--	200	added ('OK')	image/png	etag:%225c3faa7b-b9d%22	https://fifa19mobile.top/img/favicon-32x32.png	D:/Dev/CPA/Site%20Template%20Download/Fifa/fifa19mobile.top/img/favicon-32x32.png	(from https://fifa19mobile.top/)
09:15:26	3557/3557	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Apr%202019%2008:15:05%20GMT	https://fifa19mobile.top/img/manifest.html	D:/Dev/CPA/Site%20Template%20Download/Fifa/fifa19mobile.top/img/manifest.html	(from https://fifa19mobile.top/)
09:15:27	3557/3557	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Apr%202019%2008:15:05%20GMT	https://fifa19mobile.top/img/ms-icon-144x144.html	D:/Dev/CPA/Site%20Template%20Download/Fifa/fifa19mobile.top/img/ms-icon-144x144.html	(from https://fifa19mobile.top/)
09:15:27	52455/52455	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Jan%202019%2022:05:00%20GMT	https://fifa19mobile.top/js/i.imgur.com/JXKVaS1.html	D:/Dev/CPA/Site%20Template%20Download/Fifa/fifa19mobile.top/js/i.imgur.com/JXKVaS1.html	(from https://fifa19mobile.top/)
09:15:27	4253/4253	---MCZ	200	added ('OK')	text/css	etag:W/%225c3faa66-109d%22	https://fifa19mobile.top/css/fancySelect.css	D:/Dev/CPA/Site%20Template%20Download/Fifa/fifa19mobile.top/css/fancySelect.css	(from https://fifa19mobile.top/)
09:15:27	27754/27754	---MCZ	200	added ('OK')	text/css	etag:W/%225c3faa8d-6c6a%22	https://fifa19mobile.top/js/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	D:/Dev/CPA/Site%20Template%20Download/Fifa/fifa19mobile.top/js/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://fifa19mobile.top/)
09:15:27	121286/121286	---MCZ	200	added ('OK')	text/css	etag:W/%225c3faa66-1d9c6%22	https://fifa19mobile.top/css/bootstrap.min.css	D:/Dev/CPA/Site%20Template%20Download/Fifa/fifa19mobile.top/css/bootstrap.min.css	(from https://fifa19mobile.top/)
09:15:28	14238/14238	---MCZ	200	added ('OK')	text/css	etag:W/%225c3faa67-379e%22	https://fifa19mobile.top/css/sweet-alert.css	D:/Dev/CPA/Site%20Template%20Download/Fifa/fifa19mobile.top/css/sweet-alert.css	(from https://fifa19mobile.top/)
